country,grid_2025,net_2040,gamma_star_pct,gamma_star_share_of_central,g_star_pct,ebase_star_pct,zeta_star
France,0.04048,5.286322645873348,0.37201112042989376,16.174396540430163,1.9595924663222317,16.174396540430163,6.681949304657027
EU,0.2112,7.028279633398741,0.8068713174439391,35.08136162799735,1.5177262445823525,35.08136162799736,2.5120190194598355
US,0.38378,9.550109846040097,1.1089687595852402,48.21603302544523,1.2107125942574495,48.216033025445235,1.5385352918067583
China,0.5554,14.49601216510597,1.1595584349160482,50.4155841267847,1.1591962726495997,50.415584126784694,1.4308324057381308
Poland,0.60818,6.68862612879955,1.5472999463794843,67.27391071215149,0.7651200794975012,67.2739107121515,0.8085277272373352
